WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,E1A,,6-Aug-10,5.47,,1,,1.19,1.23,0.30,0.27,0.16,0.13,3.39,3.55,,0.11,0.09,0.85,0.79,0.02,0.01,0.02,0.02,0.01,0.00,0.01,0.02,0.00,0.04,0.34,0.03,4.00,2.44,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,E1A,,1-Oct-10,4.98,,1,,0.63,0.64,0.20,0.18,0.41,0.43,1.96,1.86,,0.19,0.18,0.76,0.70,0.03,0.03,0.00,0.02,,0.00,0.01,0.00,0.00,0.04,0.58,0.02,2.40,6.15,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,E1B,,10-Jul-09,5.34,orig S05,1,,1.29,,0.26,,0.15,,3.30,,,0.07,,0.92,,0.00,,0.01,,0.01,0.00,0.01,0.00,0.00,0.03,0.27,0.00,3.37,2.74,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,E1B,,1-Apr-10,5.37,,1,,0.92,0.81,0.23,0.21,0.24,0.25,2.67,2.58,,0.06,0.07,0.66,0.61,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.29,0.07,2.52,2.68,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,E1B,,18-Jun-10,5.75,,1,,1.84,1.44,0.47,0.41,0.17,0.16,4.61,4.06,,0.16,0.14,1.31,1.13,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.01,0.00,0.02,0.39,0.03,3.74,2.17,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,E1B,,1-Oct-10,5.11,,1,,0.79,0.72,0.24,0.20,0.35,0.32,2.83,2.52,,0.15,0.12,0.83,0.69,0.01,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.05,0.51,0.00,2.53,5.30,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,E1C,,10-Jul-09,5.66,orig S06,1,,1.20,,0.23,,0.16,,3.23,,,0.05,,0.83,,0.00,,0.01,,0.00,0.00,0.01,0.00,0.00,0.03,0.25,0.00,3.15,2.71,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,E1C,,1-Apr-10,5.21,,1,,0.75,0.79,0.21,0.20,0.34,0.27,2.57,2.56,,0.07,0.06,0.51,0.57,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.31,0.11,2.48,2.79,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,E1C,,1-Oct-10,4.96,,1,,0.75,0.64,0.22,0.17,0.37,0.32,2.71,2.28,,0.09,0.07,0.78,0.62,0.01,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.06,0.54,0.00,2.84,5.65,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,E2A,,10-Jul-09,4.46,,1,,0.71,,0.19,,0.49,,2.14,,,0.05,,0.64,,0.01,,0.01,,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.00,2.92,4.89,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
