WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,N4P2,,16-Jun-14,4.82,,S2,,,0.54,,0.08,,0.54,,1.53,,,0.07,,0.23,,0.10,,0.02,,,,,,0.03,0.58,2.26,2.01,1.03,0.55,0.003,0.472,0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,N4P2,12:50,16-Jul-14,4.97,,S2,,,0.45,,0.07,,0.36,,1.63,,,0.03,,0.19,,0.09,,0.02,,,,,,0.04,0.59,0.46,2.33,1.21,0.20,0.003,0.324,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,N4P2,9:45,23-Sep-14,4.92,,S2,,,0.40,,0.05,,0.26,,1.28,,,0.01,,0.15,,0.06,,0.02,,,,,,0.04,0.39,0.06,2.19,1.09,0.06,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,N4P2,14:50,7-Oct-14,4.88,,S2,,,0.34,,0.05,,0.32,,1.20,,,0.01,,0.14,,0.07,,0.02,,,,,,0.05,0.41,0.05,2.34,1.18,0.06,0.003,0.250,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,N4P2,10:10,8-Oct-14,4.83,,S2,,,0.37,,0.05,,0.39,,1.28,,,0.02,,0.15,,0.07,,0.02,,,,,,0.05,0.50,0.50,2.19,1.31,0.16,0.003,0.351,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,N4P2,13:30,9-Oct-14,4.84,,S2,,,0.53,,0.07,,0.14,,1.40,,,0.04,,0.35,,0.02,,0.02,,,,,,0.06,0.37,0.02,2.65,0.73,0.05,0.003,0.167,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,O1P1,10:20,11-Mar-13,4.39,100 ml,S2,,0.65,0.71,0.24,0.28,0.55,0.70,3.05,3.75,,0.04,0.04,0.33,0.43,0.25,0.29,0.19,0.23,,0.00,0.00,0.01,,0.11,0.46,5.51,2.55,7.77,1.40,0.007,0.464,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,O1P1,11:10,13-Mar-13,4.33,100 ml,S2,,0.92,0.65,0.33,0.23,0.89,0.65,3.78,3.05,,0.06,0.05,0.45,0.36,0.34,0.25,0.30,0.25,,0.00,0.01,0.01,,0.07,0.60,4.55,2.56,8.38,1.20,0.003,0.482,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,O1P1,,27-Mar-13,4.39,1 isotope vial,S2,,,0.31,,0.11,,0.23,,1.52,,,0.04,,0.16,,0.12,,0.11,,,,,,0.04,0.56,3.49,2.46,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,O1P1,,1-Apr-13,4.43,,S2,,,0.67,,0.22,,0.64,,3.24,,,0.09,,0.35,,0.23,,0.26,,,,,,0.06,0.51,3.28,2.51,8.57,0.90,0.003,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,O1P1,,11-Apr-13,,,S2,,,0.58,,0.18,,0.68,,2.18,,,0.05,,0.29,,0.18,,0.28,,,,,,0.04,0.43,1.99,2.45,10.23,0.63,0.003,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,O1P1,,3-Sep-13,4.28,,S2,,,0.99,,0.23,,0.68,,5.11,,,0.11,,0.43,,0.21,,0.35,,,,,,0.08,0.27,4.71,1.79,13.25,1.34,0.008,0.399,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,O1P1,,5-Jun-14,4.93,,S2,,,0.65,,0.16,,0.58,,2.83,,,0.14,,0.35,,0.09,,0.32,,,,,,0.06,0.48,0.96,2.20,11.09,0.49,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,O1P1,,13-Jun-14,4.38,,S2,,,0.87,,0.18,,0.59,,3.17,,,0.11,,0.29,,0.10,,0.33,,,,,,0.10,0.74,2.01,1.88,11.17,0.64,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,O1P1,,14-Jun-14,4.42,,S2,,,0.67,,0.18,,0.70,,3.14,,,0.07,,0.31,,0.11,,0.34,,,,,,0.04,0.46,2.47,1.63,11.76,0.75,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,O1P1,,16-Jun-14,4.38,,S2,,,0.76,,0.17,,0.72,,2.85,,,0.08,,0.31,,0.10,,0.41,,,,,,0.06,0.40,1.50,1.97,12.69,0.55,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,O1P1,11:40,16-Jul-14,4.34,,S2,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.33,2.67,2.11,12.96,0.82,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,JD03P2,9:50,13-Mar-13,5.23,50 ml aka A2p2,S3,,0.60,0.53,0.08,0.07,0.11,0.08,1.30,1.38,,0.04,0.04,0.46,0.31,0.00,0.01,0.02,0.02,,0.00,0.00,0.01,,0.05,0.30,0.16,2.02,,,0.003,0.166,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,JD03P2,,27-Mar-13,5.07,,S3,,,0.32,,0.04,,0.00,,0.81,,,0.02,,0.19,,0.01,,0.02,,,,,,0.06,0.43,0.17,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,JD03P2,,1-Apr-13,5.11,,S3,,,0.60,,0.07,,0.09,,1.45,,,0.10,,0.33,,0.01,,0.02,,,,,,0.03,0.43,0.21,1.80,1.66,0.13,0.003,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,JD03P2,,11-Apr-13,,,S3,,,0.94,,0.28,,0.70,,3.97,,,0.19,,0.75,,0.01,,0.43,,,,,,0.05,0.40,0.16,2.66,1.55,0.09,0.009,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,JD03P2,,11-Apr-13,,,S3,,,0.45,,0.07,,0.15,,1.56,,,0.02,,0.31,,0.01,,0.02,,,,,,0.04,0.58,0.11,1.54,1.83,0.11,0.003,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,K9P1,,27-Mar-13,4.86,,S3,,,0.32,,0.04,,0.36,,2.33,,,0.00,,0.16,,0.01,,0.02,,,,,,0.03,0.69,1.38,1.97,2.33,0.50,0.003,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,K9P2,11:15,11-Mar-13,4.82,120 ml,S3,,0.33,0.35,0.05,0.05,0.35,0.41,2.12,2.64,,0.02,0.01,0.17,0.22,0.02,0.02,0.01,0.02,,0.00,0.00,0.01,,0.06,0.60,1.25,1.74,1.97,0.37,0.003,0.315,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,K9P2,12:30,13-Mar-13,4.89,300 ml,S3,,0.35,0.34,0.04,0.04,0.45,0.43,2.36,2.70,,0.09,0.01,0.16,0.18,0.02,0.01,0.01,0.02,,0.00,0.00,0.00,,0.04,0.56,1.34,1.79,1.60,0.34,0.003,0.378,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,K9P2,,1-Apr-13,4.99,,S3,,,0.37,,0.04,,0.50,,2.99,,,0.01,,0.16,,0.01,,0.02,,,,,,0.05,0.52,1.11,1.48,1.75,0.35,0.010,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,K9P2,,11-Apr-13,,,S3,,,0.43,,0.04,,0.60,,3.50,,,0.07,,0.16,,0.01,,0.02,,,,,,0.04,0.45,2.11,1.53,1.57,0.52,0.003,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,K9P2,,25-Jun-13,4.91,,S3,,0.56,,0.03,,0.35,,3.57,,,0.02,,0.11,,0.01,,0.00,,,0.00,0.00,0.00,,0.02,0.29,0.03,1.90,2.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,K9P2,,28-Jun-13,4.94,,S3,,0.57,,0.03,,0.36,,3.89,,,0.01,,0.11,,0.01,,0.00,,,0.00,0.00,0.00,,0.04,0.24,0.02,1.77,2.32,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,K9P2,,3-Sep-13,4.95,,S3,,,0.75,,0.03,,0.23,,4.47,,,0.06,,0.17,,0.01,,0.02,,,,,,0.02,0.17,0.01,1.98,2.79,0.13,0.007,0.127,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,K9P2,,4-Jun-14,4.94,,S3,,,0.67,,0.04,,0.33,,3.08,,,0.06,,0.14,,0.01,,0.02,,,,,,0.06,0.37,1.33,1.47,1.92,0.43,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,K9P2,,5-Jun-14,4.90,,S3,,,0.63,,0.04,,0.39,,2.98,,,0.04,,0.13,,0.01,,0.02,,,,,,0.07,0.44,1.42,1.53,1.87,0.45,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,K9P2,,13-Jun-14,4.88,,S3,,,0.67,,0.04,,0.40,,3.00,,,0.03,,0.13,,0.01,,0.02,,,,,,0.02,0.41,1.39,1.53,1.83,0.38,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,K9P2,,14-Jun-14,4.96,,S3,,,0.78,,0.04,,0.41,,3.35,,,0.05,,0.14,,0.01,,0.02,,,,,,0.04,0.57,1.21,1.59,1.88,0.36,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,K9P2,,16-Jun-14,4.84,,S3,,,0.88,,0.04,,0.35,,3.09,,,0.09,,0.15,,0.01,,0.02,,,,,,0.06,0.63,1.37,1.59,1.88,0.30,0.003,0.291,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,K9P2,13:30,16-Jul-14,5.05,,S3,,,0.56,,0.03,,0.34,,3.73,,,0.02,,0.13,,0.01,,0.02,,,,,,0.03,0.41,0.09,1.96,2.20,0.16,0.003,0.207,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,K9P2,,23-Sep-14,4.99,,S3,,,0.47,,0.03,,0.29,,3.08,,,0.00,,0.11,,0.01,,0.02,,,,,,0.04,0.22,0.00,1.79,1.82,0.10,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,K9P2,15:05,7-Oct-14,4.92,,S3,,,0.47,,0.04,,0.33,,3.20,,,0.05,,0.13,,0.01,,0.02,,,,,,0.02,0.42,0.03,1.81,2.27,0.09,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,K9P2,10:20,8-Oct-14,4.92,,S3,,,0.45,,0.04,,0.36,,3.11,,,0.00,,0.11,,0.02,,0.02,,,,,,0.04,0.48,0.12,1.66,2.10,0.11,0.003,0.229,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,K9P2,13:45,9-Oct-14,4.93,,S3,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.70,0.10,2.97,4.66,0.17,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,H5P1,,27-Mar-13,4.52,no isotopes,S4,,,0.17,,0.04,,0.08,,0.65,,,0.03,,0.04,,0.01,,0.02,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,H5P1,,25-Jun-13,NA,just isotopes,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,H5P1,,28-Jun-13,NA,1 vial,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,H5P2,12:15,11-Mar-13,4.89,50 ml,S4,,,0.50,,0.04,,0.17,,1.60,,,0.04,,0.35,,0.01,,0.02,,,,,,0.12,0.45,0.92,2.33,1.41,0.26,0.018,0.130,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,H5P2,13:15,13-Mar-13,4.95,50 ml,S4,,0.54,0.47,0.04,0.03,0.24,0.22,1.70,1.73,,0.02,0.01,0.30,0.30,0.01,0.01,0.00,0.02,,0.00,0.00,0.01,,0.11,0.32,0.76,2.32,0.89,0.17,0.003,0.176,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,H5P2,,27-Mar-13,4.87,,S4,,,0.10,,0.01,,0.03,,0.38,,,0.01,,0.04,,0.01,,0.02,,,,,,0.07,0.34,0.80,2.22,1.27,0.30,0.003,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,H5P2,,1-Apr-13,4.96,,S4,,,0.55,,0.03,,0.26,,2.14,,,0.04,,0.30,,0.01,,0.02,,,,,,0.04,0.26,0.94,2.10,0.79,0.27,0.003,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,H5P2,,25-Jun-13,4.96,,S4,,0.54,,0.05,,0.21,,1.94,,,0.01,,0.25,,0.01,,0.01,,,0.00,0.00,0.01,,0.04,0.55,0.00,2.10,1.18,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,I6P2,12:46,11-Mar-13,5.15,80 ml,S4,,0.57,0.51,0.15,0.14,0.26,0.30,2.64,2.62,,0.20,0.18,0.85,0.62,0.03,0.01,0.02,0.02,,0.00,0.01,0.03,,0.11,0.43,0.93,1.69,5.90,0.64,0.180,0.140,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,I6P2,13:30,13-Mar-13,5.17,low volume,S4,,0.56,0.50,0.14,0.13,0.29,0.36,2.62,2.81,,0.10,0.10,0.85,0.53,0.01,0.01,0.01,0.02,,0.00,0.01,0.02,,0.09,0.33,0.07,1.50,5.12,0.18,0.003,0.185,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,I6P2,,27-Mar-13,5.24,,S4,,,0.11,,0.03,,0.08,,0.60,,,0.03,,0.11,,0.01,,0.02,,,,,,0.03,0.38,0.15,1.53,,,0.003,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
