LocationType,SampleDate,NO3median_mgL,num_samples,HPU,median_ht_above_C_cm,sdWLs,wells_included
G3,2019-06-11,0.56,5,typical,77.24999999999999,NA,1
G3,2019-06-18,0.6100000000000001,4,typical,53.05000000000001,NA,1
G3,2019-06-25,0.61,3,typical,55.099999999999994,NA,1
G3,2019-07-02,0.67,3,typical,47.79999999999998,NA,1
G3,2019-07-08,0.63,3,typical,32,NA,1
G3,2019-07-12,0.87,5,typical,62.69999999999999,NA,1
G3,2019-07-16,0.5349999999999999,4,typical,34.5,NA,1
G3,2019-07-23,0.54,3,typical,25.399999999999977,NA,1
G3,2019-07-30,0.58,3,typical,25.299999999999983,NA,1
G3,2019-09-06,0.952705008518318,1,typical,25,NA,1
G3,2020-01-28,0.540988314373124,3,typical,35.19999999999999,NA,1
G4,2010-03-25,0.065,2,bimodal,172.55,152.24008998946366,2
G4,2011-04-07,2.02995144336059,1,bimodal,57.5,11.06032699938538,3
G4,2011-04-08,0.23686480662042153,2,bimodal,53.900000000000006,12.577890655166838,3
G4,2011-04-14,1.6586227339033826,2,bimodal,75.82090925,5.435898663337874,3
G4,2011-05-24,0.8343082068066451,2,bimodal,57.7,16.45601003770573,3
G4,2011-08-16,0.516447174754032,3,bimodal,29.3,18.821148344349233,4
G4,2012-10-29,0.040073268794763,1,bimodal,41.7,33.0409342079387,3
G4,2012-10-30,0.0493879730309569,1,bimodal,52.80000000000001,16.2634559672906,2
G4,2013-03-11,2.0590871702553777,2,bimodal,43.150000000000006,18.521393036162266,5
G4,2013-03-12,0.894013245696417,7,bimodal,44.150000000000006,20.035861598643567,5
G4,2013-03-13,0.651436761894402,3,bimodal,44.5,18.390133224096015,5
G4,2013-03-27,1.872613458433963,2,bimodal,40.2,17.56394033239694,5
G4,2013-04-01,0.458711170537796,3,bimodal,57.050000000000004,26.585856202123715,6
G4,2013-04-11,1.31558216267982,1,bimodal,63.675000000000004,25.727852935421307,6
G4,2013-06-28,1.00024198554187,1,bimodal,28.299999999999997,24.036992324332093,5
G4,2013-08-20,0.865864572113276,1,bimodal,2.5,NA,1
G4,2013-11-07,0.243025560673915,1,bimodal,13.900000000000006,NA,1
